CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
13961.3819172932,12453.190839599,14514.7917013964,13922.7746902972,12123.9250229144,10349.4573544576,9822.46967883996
13954.4914586919,12443.8622289157,14503.8024293603,13915.5288278112,12121.5406142427,10334.096445066,9814.50539945496
13947.7747698054,12434.9306151691,14493.485161244,13908.8229652374,12119.5622171946,10320.0086015945,9806.83117216117
13941.202498921,12426.387270177,14483.7058034815,13902.619301899,12117.9745817149,10306.9509818731,9799.50890807078
13934.7475549312,12418.2256941143,14474.3809080758,13896.8667938189,12116.7859350911,10294.4862337007,9792.57346804985
13928.361011544,12410.4089963925,14465.4468639971,13891.5369635642,12115.9369830447,10282.4371107504,9786.10034271284
13922.0559697232,12402.9801990751,14456.841185418,13886.5273885396,12115.3513595636,10270.5743225667,9780.17670821591
13915.903712187,12396.015954552,14448.4481795484,13881.6924164134,12114.991734332,10258.7114788681,9774.88698183529
13909.9523588461,12389.5222628108,14440.1505262013,13876.9500043488,12114.8074668406,10246.844353845,9770.21477495108
13904.1635315041,12383.4621406794,14431.9684400407,13872.2568220093,12114.6777391841,10234.9693713705,9766.0440501597
13898.4762911669,12377.8322348237,14423.9912668121,13867.549346056,12114.5800236278,10223.1957731734,9762.13034860051
13892.823877603,12372.6781968108,14416.2536074705,13862.8329885685,12114.5549555847,10211.7234228921,9758.40628185525
13887.1247462262,12367.945454678,14408.7350842266,13858.1194220812,12114.6062593889,10200.719267848,9754.61100926129
13881.381816024,12363.5612594946,14401.4164146947,13853.4019054923,12114.7538694128,10190.3119544259,9750.56998393222
13875.6999740326,12359.5320667837,14394.275476922,13848.7185955673,12115.0237985517,10180.5303573257,9746.30769109795
13870.1904443223,12355.8226619048,14387.2537542125,13844.150192674,12115.3308190476,10171.4675388278,9741.89813589744
13864.9390494534,12352.3903055984,14380.3228263262,13839.7194918923,12115.5440076308,10163.0328384328,9737.54412172573
